State_Name,City,"Round(AVG(Mean),1)","Round(AVG(Median),1)"
"New Jersey",Hainesport,130359,123393
Illinois,Cary,130324.8,159766.8
Ohio,Maineville,130212,300000
"New York",Northport,130129.5,124318
California,"San Mateo",130092.3,195096.6
California,"Los Olivos",130078,107925
California,Piedmont,130069,184662.5
Massachusetts,Scituate,130056,126555
Massachusetts,Medway,130026,300000
Ohio,Solon,130003,193571.5
"New Jersey",Moorestown,129973,122357.5
Minnesota,Edina,129952.4,139225.6
Connecticut,Granby,129937,300000
Texas,Mansfield,129843.5,171330.5
Wisconsin,"Elm Grove",129814,300000
"New Jersey",Flemington,129621,300000
"New York","South Hempstead",129541.7,204020
Virginia,Leesburg,129529,212986.7
California,"Rancho Palos Verdes",129413.5,128089
Virginia,Lorton,129360.8,171942
Colorado,Jamestown,129356,300000
Illinois,Gurnee,129296.7,221246.3
Maryland,Leonardtown,129260,201077
Texas,Sunnyvale,129241,130195.5
"Rhode Island",Clayville,129181,300000
California,"Marina Del Rey",129091,94781
"New Jersey",Madison,128933.5,117500
Wisconsin,Waunakee,128827.5,196958
California,"Mission Viejo",128766,187964.8
Ohio,"New Albany",128725,203248.7
Massachusetts,Hanover,128679,121376
"New York",Larchmont,128665,300000
California,"San Anselmo",128552.3,173847.7
Ohio,"Liberty Twp",128537,221146
California,"Foster City",128534.3,180758
"New York","New City",128390.3,180264.7
Texas,Frisco,128353.1,257203.4
Pennsylvania,Furlong,128209,123189
Washington,Woodinville,128102.2,155533.6
"New York",Melville,128026.7,174938
"New York",Shoreham,128006,126510
"New York","Honeoye Falls",127898,300000
"New York","East Hampton",127841,135058
"New York","Great Neck",127772.8,155765
"New York","Wading River",127693,137303
Maryland,"North Potomac",127670,112166
"New Jersey",Medford,127653,300000
Pennsylvania,"Plymouth Meeting",127556,117665
"New Jersey",Whippany,127535.5,125798
"New Jersey",Edgewater,127402.5,203872
Michigan,Birmingham,127330.7,183095.7
Virginia,Lovettsville,127267,126348
"New Jersey",Morganville,127256.5,210782
Michigan,"Grosse Pointe Farms",127188.2,120719
Florida,"Bay Harbor Islands",127157.7,116603.7
"New York",Medford,127156.5,300000
"New Jersey",Wyckoff,126994.5,208427
"New York","Dix Hills",126795,185958.7
Minnesota,Shakopee,126672,122458
California,"Union City",126666,190940.8
California,Pleasanton,126645.8,151141
"New York","West Islip",126628.5,221885.5
"New Hampshire",Contoocook,126550,103126
"New Jersey",Livingston,126392,131466.3
"New York",Oakdale,126385,300000
Washington,"Bainbridge Island",126314.5,94914.5
"New Jersey","Old Tappan",126112,105133
California,"Los Gatos",126043,105505
"New Jersey",Waldwick,126015,118775
California,Inyokern,125966,300000
"New Jersey",Roosevelt,125960,123690.5
"New Jersey","Glen Ridge",125910,300000
Illinois,"Long Grove",125903.7,187312
California,Moorpark,125805.7,180152.7
Iowa,Johnston,125510,117459.5
Connecticut,Coventry,125500.5,300000
"New Jersey","Scotch Plains",125404.5,160684.5
Pennsylvania,"Huntingdon Valley",125078.3,171924
Illinois,"Glen Ellyn",125002.3,122853
Pennsylvania,Doylestown,124974,114529
California,Kingsburg,124958,108583
"New Jersey",Millburn,124954,300000
"New York","Garden City Park",124877,117064
Pennsylvania,Limerick,124877,126465
Illinois,Naperville,124742.6,173210.2
Massachusetts,Natick,124697.5,161122
"New York",Elwood,124628,108389
Colorado,Erie,124457.7,176264
